"country","region","city_state","codes_list"
"India","Meghalaya, East Khasi Hills, Cherrapunjee","Mawblang","[""793108""]"
"India","Kerala, Kasargod, Kasaragod","Sheni","[""671552""]"
"Mexico","Tabasco","Residencial Puerta Real","[""86280""]"
"Argentina","San Luis","Banda Sud","[""5705""]"
"Chile","Coquimbo, Elqui, Coquimbo","Triunfo Campesino","[""1780000""]"
"Ukraine","Crimea, Rozdolnenskyi","Portove","[""96200""]"
"Japan","Fukushima Ken, Tamura Shi","Funehikimachi Nagatoro","[""963-4432""]"
"India","Bihar, Saran, Chapra","Sarhwara","[""841421""]"
"Lithuania","Vilniaus Apskritis","Rackunu K.","[""25001""]"
"Czech Republic","Jihomoravsky Kraj","Radejov","[""696 67""]"
"China","Henan, Pingqiao District","Jiudian Township","[""464116""]"
"Japan","Wakayama Ken, Ito Gun","Higashitani","[""649-7101""]"
"United States","Nebraska, Thayer","Gilead","[""68362""]"
"Japan","Tokyo To, Ome Shi","Sumiecho","[""198-0084""]"
"India","Rajasthan, Bharatpur","Behnera","[""321001""]"
"China","Anhui, Feidong County","Beizhao Township","[""236151""]"
"Japan","Hokkaido, Mikasa Shi","Honcho","[""068-2141""]"
"Maldives","Male, Ameenee Magu","Viluveli","[""20239""]"
"Japan","Niigata Ken, Sado Shi","Aikawa Shioyamachi","[""952-1542""]"
"Japan","Hyogo Ken, Kakogawa Shi","Noguchicho Sakamotokita","[""675-0010""]"
"United Kingdom","England, Powys","Brooks","[""SY21""]"
"Nigeria","Borno, Askira-Uba, Askira","Njoma","[""601103""]"
"Italy","Liguria, La Spezia","Comuneglia","[""19028""]"
"China","Fujian, Longyan City","Yanshi Town","[""364002""]"
"Mexico","Michoacan De Ocampo","Chocolate","[""61384""]"
"Germany","Sachsen-Anhalt","Behnsdorf","[""39356""]"
"Indonesia","North Sulawesi, Bitung","Batulubang","[""95552""]"
"Turkey","Hatay, Belen","Komurcukuru","[""31350""]"
"United States","Colorado, Clear Creek","Empire","[""80438""]"
"Japan","Tokushima Ken, Awa Shi","Yoshinocho Gojo","[""771-1403""]"
"Japan","Shizuoka Ken, Hamamatsu Shi","Ogawa","[""431-3752""]"
"Nigeria","Niger, Borgu, Wawa","T/okofun","[""912105""]"
"Latvia","Daugavpils","Februara Iela","[""LV""]"
"Austria","Oberosterreich, Politischer Bezirk Rohrbach, Ahorn","Piberstein","[""4184""]"
"Ecuador","Los Rios, Quevedo","San Cristobal","[""120506""]"
"Estonia","Laanemaa, Hanila","Kause","[""90107""]"
"Italy","Toscana, Livorno","Colognole","[""57014""]"
"France","Normandie, Orne","Saint-Evroult-Notre-Dame-Du-Bois","[""61550""]"
"Estonia","Polvamaa, Valgjarve","Puugi","[""63412""]"
"Russian Federation","Primorskiy Kray","Timiryazevskiy","[""692539""]"
"Australia","Western Australia, Kalgoorlie","Boorara","[""6431""]"
"China","Henan, Xihua County","Xixiating Town","[""466633""]"
"China","Hubei, Xiangfan City","Daqingdong Road","[""441001""]"
"Japan","Hyogo Ken, Himeji Shi","Shinzaike","[""670-0095""]"
"Colombia","Cundinamarca, Arbelaez","Aguanegra","[""252008""]"
"Nigeria","Kaduna, Jema'a, Kagoma / Asso","Ngakyozi","[""801104""]"
"United States","Virginia, King And Queen","Newtown","[""23126""]"
"Nigeria","Kogi, Koton Karifi","Kpakpara Gakiya","[""260105""]"
"Argentina","Santiago Del Estero","El Cachi","[""5251""]"
"Lithuania","Vilniaus Apskritis","Sniegiu K.","[""15004""]"
"Afghanistan","Helmand, Kajaki","Machi Khail","[""3957""]"
"Italy","Campania, Salerno","Padula","[""84034""]"
"Colombia","Huila, Neiva","Chapinero","[""410010"",""410018""]"
"Nepal","Madhyamanchal, Bagmati, Sindhupalchok","Sindhupalchok","[""45300""]"
"Belarus","Grodno/hrodna Province, Smarhon District, Lyloytinskiy Council","Lapovoynya","[""231015""]"
"Mexico","Durango","Los Alazanes","[""34685""]"
"India","Punjab, Mohali, S.a.s.nagar","Sohana","[""140308""]"
"Japan","Saitama Ken, Iruma Gun","Kosugi","[""350-0422""]"
"Russian Federation","Saratovskaya Oblast","Piterka","[""413320""]"
"Mexico","Oaxaca","Sagrado Corazon","[""68418""]"
"India","West Bengal, North Dinajpur, Dalkhola","Sripur","[""733201""]"
"Poland","Podlasie, Lomza County","Nowe Bozejewo","[""18-430""]"
"Vietnam","Bac Trung Bo, Thanh Hoa, Tho Xuan","Tay Ho","[""440000""]"
"Mexico","Queretaro","Higuerillas","[""76520""]"
"Mexico","Yucatan","Orquideas","[""97782""]"
"India","Arunachal Pradesh, Lohit, Tezu","Changliang","[""792001""]"
"Russian Federation","Volgogradskaya Oblast","Pallasovka 2","[""404262""]"
"India","Maharashtra, Sindhudurg, Vaibhavwadi","Nadhavade","[""416810""]"
"Mexico","Jalisco","Santa Isabel De Quililla","[""46840""]"
"Hungary","Baranya","Mecseknadasd","[""7695""]"
"Austria","Oberosterreich, Politischer Bezirk Ried Im Innkreis, Tumeltsham","Aigen","[""4911""]"
"Poland","Warmia-Masuria, Powiat Elblaski","Kwietniewo","[""14-411""]"
"Cyprus","Larnaca","Stathmos Choirokoitias","[""7742""]"
"Russian Federation","Sahalinskaya Oblast","Malinovka","[""694211""]"
"Italy","Piemonte, Asti","Maranzana","[""14040""]"
"Mexico","Zacatecas","El Patrocinio","[""98060""]"
"Spain","Cantabria","Mollaneda","[""39776""]"
"Japan","Ibaraki Ken, Shimotsuma Shi","Hibashi","[""304-0046""]"
"Spain","Castilla - Leon, Zamora","Santa Marta De Tera","[""49626""]"
"Japan","Mie Ken, Tsu Shi","Hisai Hommachi","[""514-1135""]"
"Argentina","Santiago Del Estero","Burra Huanauana","[""4208""]"
"France","Bourgogne-Franche-Comte, Cote-D'or","La Roche-En-Brenil","[""21530""]"
"Ukraine","Khmelnytskyi Oblast, Starokostiantynivskyi","Pershokvitneve","[""31113""]"
"Japan","Niigata Ken, Agano Shi","Tsukada","[""959-1966""]"
"Belarus","Gomel Province, Kalinkavichy District, Kryukovichskiy Council","Visha","[""247733""]"
"Poland","Mazovia, Powiat Ciechanowski","Humiecino-Koski","[""06-460""]"
"Russian Federation","Chechenskaya Respublika","Gilyany","[""366227""]"
"United Kingdom","England, West Midlands","Moseley","[""B13""]"
"Japan","Hiroshima Ken, Fukuyama Shi","Ichimonjicho","[""721-0953"",""721-8631"",""721-8688""]"
"France","Nouvelle-Aquitaine, Charente","La Chapelle","[""16140""]"
"India","Odisha, Kalahandi, Bhawanipatna","Medinipur","[""766002""]"
"United States","South Carolina, Kershaw","Camden","[""29020"",""29021""]"
"Nigeria","Oyo, Ogbomosho South, Ogbomosho","Abepe Area","[""210101""]"
"Japan","Tokushima Ken, Miyoshi Shi","Higashiiya Ochiai","[""778-0202""]"
"Italy","Lombardia, Bergamo","Endine Gaiano","[""24060""]"
"Nigeria","Rivers, Eleme","Eyaa","[""501101""]"
"Turkey","Gaziantep, Sehitkamil","Gungurge","[""27000""]"
"Poland","Lubusz, Powiat Sulecinski","Krzemow","[""66-435""]"
"Peru","La Libertad, Sanchez Carrion, Sanagoran","Chugurbamba","[""13310""]"
"Mexico","Chihuahua","Cisneros","[""33970""]"
"Maldives","Male, Chaandhanee Magu","Bodugalumaafaiyge","[""20194""]"
"Mexico","Oaxaca","Santa Maria Naranjo","[""71388""]"
